provinceID, provinceName, loc, county, countyloc, duchy, duchyloc, kingdom, kingdomloc, region, terrain, type, X, Y, rgb, area (pixels), county area, duchy area, kingdom area

1, b_vestfirdir, Vestfirðir, c_vestisland, Vestrland, d_iceland, Iceland, k_norway, Norway world_europe_north, mountains, inhabitable, X:271, Y:3950, rgb(42, 3, 128), AREA: 4185, County Area: 13299, Duchy Area: 35255, Kingdom Area: 147219;
5413, b_aqsubay, Aqsubay, c_karabolam, Karabolam, d_volga_bulgaria, Volga-Bulgaria, k_volga_bulgaria, Volga Bulgaria world_steppe_west, plains, inhabitable, X:3380, Y:2938, rgb(131, 51, 134), AREA: 3253, County Area: 9217, Duchy Area: 52115, Kingdom Area: 168840;
5414, b_elmet, Elmet, c_karabolam, Karabolam, d_volga_bulgaria, Volga-Bulgaria, k_volga_bulgaria, Volga Bulgaria world_steppe_west, plains, inhabitable, X:3434, Y:2906, rgb(173, 54, 7), AREA: 2363, County Area: 9217, Duchy Area: 52115, Kingdom Area: 168840;
5415, b_buzuluk, Buzuluk, c_samar_VB, Samar, d_volga_bulgaria, Volga-Bulgaria, k_volga_bulgaria, Volga Bulgaria world_steppe_west, forest, inhabitable, X:3553, Y:2853, rgb(5, 57, 135), AREA: 2660, County Area: 11573, Duchy Area: 52115, Kingdom Area: 168840;
5416, b_pokhnishne, Pokhnishne, c_samar_VB, Samar, d_volga_bulgaria, Volga-Bulgaria, k_volga_bulgaria, Volga Bulgaria world_steppe_west, forest, inhabitable, X:3510, Y:2895, rgb(47, 60, 8), AREA: 3286, County Area: 11573, Duchy Area: 52115, Kingdom Area: 168840;
5417, b_neftegorsk, Zuevka, c_samar_VB, Samar, d_volga_bulgaria, Volga-Bulgaria, k_volga_bulgaria, Volga Bulgaria world_steppe_west, forest, inhabitable, X:3508, Y:2856, rgb(89, 63, 136), AREA: 2748, County Area: 11573, Duchy Area: 52115, Kingdom Area: 168840;
5418, b_belebey, Belebey, c_belebey, Belebey, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, forest, inhabitable, X:3632, Y:2931, rgb(131, 66, 9), AREA: 2926, County Area: 10907, Duchy Area: 44700, Kingdom Area: 168840;
5419, b_menzelinsk, Menzelinsk, c_belebey, Belebey, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:3628, Y:3006, rgb(173, 69, 137), AREA: 3101, County Area: 10907, Duchy Area: 44700, Kingdom Area: 168840;
5420, b_siun, Siun, c_belebey, Belebey, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:3666, Y:3013, rgb(5, 72, 10), AREA: 2348, County Area: 10907, Duchy Area: 44700, Kingdom Area: 168840;
5421, b_achaly, Achaly, c_belebey, Belebey, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, forest, inhabitable, X:3664, Y:2979, rgb(47, 75, 138), AREA: 2532, County Area: 10907, Duchy Area: 44700, Kingdom Area: 168840;
5422, b_jalmat, Jalmat, c_jalmat, Jalmat, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:3472, Y:2956, rgb(89, 78, 11), AREA: 3898, County Area: 10956, Duchy Area: 44700, Kingdom Area: 168840;
5423, b_pascherty, Pascherty, c_jalmat, Jalmat, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:3540, Y:2937, rgb(131, 81, 139), AREA: 2536, County Area: 10956, Duchy Area: 44700, Kingdom Area: 168840;
5424, b_bugulma, Bugulma, c_jalmat, Jalmat, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:3584, Y:2949, rgb(173, 84, 12), AREA: 2641, County Area: 10956, Duchy Area: 44700, Kingdom Area: 168840;
5425, b_almetyvesk, Almetyvesk, c_jalmat, Jalmat, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:3570, Y:2991, rgb(5, 87, 140), AREA: 1881, County Area: 10956, Duchy Area: 44700, Kingdom Area: 168840;
5426, b_bugurslan, Bugurslan, c_bugurslan, Bugurslan, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, forest, inhabitable, X:3594, Y:2905, rgb(47, 90, 13), AREA: 3573, County Area: 9984, Duchy Area: 44700, Kingdom Area: 168840;
5427, b_bol_uran, Bol Uran, c_bugurslan, Bugurslan, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, steppe, inhabitable, X:3637, Y:2860, rgb(89, 93, 141), AREA: 3827, County Area: 9984, Duchy Area: 44700, Kingdom Area: 168840;
5428, b_sakmarskoi_gorodok, Sakmarskoi Gorodok, c_bugurslan, Bugurslan, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, steppe, inhabitable, X:3619, Y:2823, rgb(131, 96, 14), AREA: 2584, County Area: 9984, Duchy Area: 44700, Kingdom Area: 168840;
5429, b_sterlitamak, Sterlitamak, c_salavat, Salavat, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, forest, inhabitable, X:3688, Y:2921, rgb(173, 99, 142), AREA: 2152, County Area: 12853, Duchy Area: 44700, Kingdom Area: 168840;
5430, b_teterpush, Teterpush, c_salavat, Salavat, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, steppe, inhabitable, X:3667, Y:2861, rgb(5, 102, 15), AREA: 2011, County Area: 12853, Duchy Area: 44700, Kingdom Area: 168840;
5431, b_salavat, Salavat, c_salavat, Salavat, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, steppe, inhabitable, X:3730, Y:2879, rgb(47, 105, 143), AREA: 2979, County Area: 12853, Duchy Area: 44700, Kingdom Area: 168840;
5432, b_kumertau, Kumertau, c_salavat, Salavat, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, steppe, inhabitable, X:3759, Y:2842, rgb(89, 108, 16), AREA: 2981, County Area: 12853, Duchy Area: 44700, Kingdom Area: 168840;
5433, b_prechistenskaya, Prechistenskaya, c_salavat, Salavat, d_jalmat, Jalmat, k_volga_bulgaria, Volga Bulgaria world_steppe_west, steppe, inhabitable, X:3739, Y:2813, rgb(131, 111, 144), AREA: 2730, County Area: 12853, Duchy Area: 44700, Kingdom Area: 168840;
5434, b_kungur, Kungur, c_perm, Perm, d_perm, Perm, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3678, Y:3136, rgb(173, 114, 17), AREA: 2697, County Area: 12001, Duchy Area: 41596, Kingdom Area: 170411;
5435, b_krasnooufimsk, Krasnooufimsk, c_perm, Perm, d_perm, Perm, k_permia, Permia world_steppe_west, hills, inhabitable, X:3739, Y:3117, rgb(5, 117, 145), AREA: 2406, County Area: 12001, Duchy Area: 41596, Kingdom Area: 170411;
5436, b_ovinskoi, Ovinskoi, c_perm, Perm, d_perm, Perm, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3659, Y:3089, rgb(47, 120, 18), AREA: 3162, County Area: 12001, Duchy Area: 41596, Kingdom Area: 170411;
5437, b_sebur, Sebur, c_sebur, Sebur, d_perm, Perm, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3606, Y:3085, rgb(89, 123, 146), AREA: 2881, County Area: 12232, Duchy Area: 41596, Kingdom Area: 170411;
5438, b_okhansk, Okhansk, c_sebur, Sebur, d_perm, Perm, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3615, Y:3132, rgb(131, 126, 19), AREA: 3294, County Area: 12232, Duchy Area: 41596, Kingdom Area: 170411;
5439, b_aluchi, Aluchi, c_sebur, Sebur, d_perm, Perm, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3650, Y:3054, rgb(173, 129, 147), AREA: 2879, County Area: 12232, Duchy Area: 41596, Kingdom Area: 170411;
5440, b_saraninskor, Saraninskor, c_sebur, Sebur, d_perm, Perm, k_permia, Permia world_steppe_west, hills, inhabitable, X:3718, Y:3059, rgb(5, 132, 20), AREA: 3178, County Area: 12232, Duchy Area: 41596, Kingdom Area: 170411;
5441, b_lysva, Lysva, c_lysva, Lysva, d_perm, Perm, k_permia, Permia world_steppe_west, hills, inhabitable, X:3795, Y:3192, rgb(47, 135, 148), AREA: 1982, County Area: 9087, Duchy Area: 41596, Kingdom Area: 170411;
5442, b_kutamych, Kutamych, c_lysva, Lysva, d_perm, Perm, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3746, Y:3202, rgb(89, 138, 21), AREA: 2267, County Area: 9087, Duchy Area: 41596, Kingdom Area: 170411;
5443, b_serga, Serga, c_lysva, Lysva, d_perm, Perm, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3739, Y:3168, rgb(131, 141, 149), AREA: 2461, County Area: 9087, Duchy Area: 41596, Kingdom Area: 170411;
5444, b_sylva, Sylva, c_lysva, Lysva, d_perm, Perm, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3799, Y:3156, rgb(173, 144, 22), AREA: 2377, County Area: 9087, Duchy Area: 41596, Kingdom Area: 170411;
5445, b_kumych, Kumych, c_kumych, Kumych, d_perm, Perm, k_permia, Permia world_steppe_west, hills, inhabitable, X:3849, Y:3166, rgb(5, 147, 150), AREA: 2377, County Area: 8276, Duchy Area: 41596, Kingdom Area: 170411;
5446, b_bisserskaya, Bisserskaya, c_kumych, Kumych, d_perm, Perm, k_permia, Permia world_steppe_west, hills, inhabitable, X:3816, Y:3116, rgb(47, 150, 23), AREA: 1965, County Area: 8276, Duchy Area: 41596, Kingdom Area: 170411;
5447, b_klenovskaya, Klenovskaya, c_kumych, Kumych, d_perm, Perm, k_permia, Permia world_steppe_west, hills, inhabitable, X:3850, Y:3100, rgb(89, 153, 151), AREA: 1806, County Area: 8276, Duchy Area: 41596, Kingdom Area: 170411;
5448, b_kirgichanskaya, Kirgichanskaya, c_kumych, Kumych, d_perm, Perm, k_permia, Permia world_steppe_west, hills, inhabitable, X:3888, Y:3129, rgb(131, 156, 24), AREA: 2128, County Area: 8276, Duchy Area: 41596, Kingdom Area: 170411;
5449, b_votkinsk, Votkinsk, c_votkinsk, Votkinsk, d_ural, Ural, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3539, Y:3131, rgb(173, 159, 152), AREA: 4072, County Area: 15335, Duchy Area: 45693, Kingdom Area: 170411;
5450, b_nytva, Nytva, c_votkinsk, Votkinsk, d_ural, Ural, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3580, Y:3151, rgb(5, 162, 25), AREA: 2967, County Area: 15335, Duchy Area: 45693, Kingdom Area: 170411;
5451, b_obva, Obva, c_votkinsk, Votkinsk, d_ural, Ural, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3512, Y:3214, rgb(47, 165, 153), AREA: 5761, County Area: 15335, Duchy Area: 45693, Kingdom Area: 170411;
5452, b_krasnokamsk, Krasnokamsk, c_votkinsk, Votkinsk, d_ural, Ural, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3624, Y:3214, rgb(89, 168, 26), AREA: 2535, County Area: 15335, Duchy Area: 45693, Kingdom Area: 170411;
5453, b_vilva, Vilva, c_ural, Ural, d_ural, Ural, k_permia, Permia world_steppe_west, hills, inhabitable, X:3729, Y:3252, rgb(131, 171, 154), AREA: 4786, County Area: 13903, Duchy Area: 45693, Kingdom Area: 170411;
5454, b_solikamsk, Solikamsk, c_ural, Ural, d_ural, Ural, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3679, Y:3232, rgb(173, 174, 27), AREA: 4882, County Area: 13903, Duchy Area: 45693, Kingdom Area: 170411;
5455, b_kerken, Kerken, c_kerken, Kerken, d_ural, Ural, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3651, Y:3342, rgb(5, 177, 155), AREA: 6798, County Area: 16455, Duchy Area: 45693, Kingdom Area: 170411;
5456, b_shimal, Shimal, c_kerken, Kerken, d_ural, Ural, k_permia, Permia world_steppe_west, hills, inhabitable, X:3703, Y:3364, rgb(47, 180, 28), AREA: 5136, County Area: 16455, Duchy Area: 45693, Kingdom Area: 170411;
5457, b_akchim, Akchim, c_kerken, Kerken, d_ural, Ural, k_permia, Permia world_steppe_west, hills, inhabitable, X:3712, Y:3312, rgb(89, 183, 156), AREA: 4521, County Area: 16455, Duchy Area: 45693, Kingdom Area: 170411;
5458, b_kasib, Kasib, c_kargadan, Kargadan, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3601, Y:3249, rgb(131, 186, 29), AREA: 3281, County Area: 19904, Duchy Area: 83122, Kingdom Area: 170411;
5459, b_koca, Koca, c_kargadan, Kargadan, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3521, Y:3249, rgb(173, 189, 157), AREA: 4077, County Area: 19904, Duchy Area: 83122, Kingdom Area: 170411;
5460, b_karsovay, Karsovay, c_kargadan, Kargadan, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3470, Y:3224, rgb(5, 192, 30), AREA: 6141, County Area: 19904, Duchy Area: 83122, Kingdom Area: 170411;
5461, b_palniki, Palniki, c_palniki, Palniki, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3547, Y:3347, rgb(47, 195, 158), AREA: 6577, County Area: 24247, Duchy Area: 83122, Kingdom Area: 170411;
5462, b_lolog, Lolog, c_palniki, Palniki, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3492, Y:3318, rgb(89, 198, 31), AREA: 7394, County Area: 24247, Duchy Area: 83122, Kingdom Area: 170411;
5463, b_glazov, Glaz, c_glazov, Glaz, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3399, Y:3226, rgb(131, 201, 159), AREA: 3681, County Area: 12844, Duchy Area: 83122, Kingdom Area: 170411;
5464, b_igra, Igra, c_glazov, Glaz, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3446, Y:3174, rgb(173, 204, 32), AREA: 5398, County Area: 12844, Duchy Area: 83122, Kingdom Area: 170411;
5465, b_uva, Uva, c_glazov, Glaz, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3442, Y:3128, rgb(5, 207, 160), AREA: 3765, County Area: 12844, Duchy Area: 83122, Kingdom Area: 170411;
5466, b_kolyn, Kolyn, c_kolyn, Kolyn, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3246, Y:3201, rgb(47, 210, 33), AREA: 7986, County Area: 26127, Duchy Area: 83122, Kingdom Area: 170411;
5467, b_nukrat, Nukrat, c_kolyn, Kolyn, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3261, Y:3258, rgb(89, 0, 161), AREA: 7578, County Area: 26127, Duchy Area: 83122, Kingdom Area: 170411;
5468, b_suna, Suna, c_kolyn, Kolyn, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3348, Y:3184, rgb(131, 3, 34), AREA: 5152, County Area: 26127, Duchy Area: 83122, Kingdom Area: 170411;
5469, b_arkul, Arkul, c_kolyn, Kolyn, d_udmurtia, Udmurtia, k_permia, Permia world_steppe_west, taiga, inhabitable, X:3358, Y:3124, rgb(173, 6, 162), AREA: 5411, County Area: 26127, Duchy Area: 83122, Kingdom Area: 170411;
5470, b_cykma, Cykma, c_cykma, Cykma, d_martyuba, Martyuba, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:3021, Y:3123, rgb(5, 9, 35), AREA: 2484, County Area: 7198, Duchy Area: 17500, Kingdom Area: 168840;
5471, b_semenov, Semenov, c_cykma, Cykma, d_martyuba, Martyuba, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:2970, Y:3148, rgb(47, 12, 163), AREA: 2192, County Area: 7198, Duchy Area: 17500, Kingdom Area: 168840;
5472, b_luch, Luch, c_cykma, Cykma, d_martyuba, Martyuba, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:2929, Y:3207, rgb(89, 15, 36), AREA: 2522, County Area: 7198, Duchy Area: 17500, Kingdom Area: 168840;
5473, b_vetluga, Vetluga, c_martyuba, Martyuba, d_martyuba, Martyuba, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:3031, Y:3210, rgb(131, 18, 164), AREA: 3830, County Area: 10302, Duchy Area: 17500, Kingdom Area: 168840;
5474, b_vokhma, Vokhma, c_martyuba, Martyuba, d_martyuba, Martyuba, k_volga_bulgaria, Volga Bulgaria world_steppe_west, taiga, inhabitable, X:2967, Y:3276, rgb(173, 21, 37), AREA: 3779, County Area: 10302, Duchy Area: 17500, Kingdom Area: 168840;
5475, b_birsk, Birsk, c_ufa, Ufa, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, taiga, inhabitable, X:3739, Y:3009, rgb(5, 24, 165), AREA: 2706, County Area: 9202, Duchy Area: 26670, Kingdom Area: 76986;
5476, b_sim, Sim, c_ufa, Ufa, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, forest, inhabitable, X:3780, Y:2992, rgb(47, 27, 38), AREA: 1647, County Area: 9202, Duchy Area: 26670, Kingdom Area: 76986;
5477, b_yeldiatzkaya, Yeldiatzkaya, c_ufa, Ufa, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, taiga, inhabitable, X:3784, Y:3040, rgb(89, 30, 166), AREA: 2681, County Area: 9202, Duchy Area: 26670, Kingdom Area: 76986;
5478, b_inzer, Inzer, c_yanokul, Yanokul, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, steppe, inhabitable, X:3783, Y:2942, rgb(131, 33, 39), AREA: 1723, County Area: 7675, Duchy Area: 26670, Kingdom Area: 76986;
5479, b_prigoro_tabynsk, Prigoro Tabynsk, c_yanokul, Yanokul, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, forest, inhabitable, X:3731, Y:2927, rgb(173, 36, 167), AREA: 1949, County Area: 7675, Duchy Area: 26670, Kingdom Area: 76986;
5480, b_bielaya, Bielaya, c_yanokul, Yanokul, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, steppe, inhabitable, X:3755, Y:2891, rgb(5, 39, 40), AREA: 2337, County Area: 7675, Duchy Area: 26670, Kingdom Area: 76986;
5481, b_yanokul, Yanokul, c_yanokul, Yanokul, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, steppe, inhabitable, X:3817, Y:2925, rgb(47, 42, 168), AREA: 1666, County Area: 7675, Duchy Area: 26670, Kingdom Area: 76986;
5482, b_kaginskoi, Kaginskoi, c_sakmara, Sakmara, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, steppe, inhabitable, X:3807, Y:2865, rgb(89, 45, 41), AREA: 2627, County Area: 9793, Duchy Area: 26670, Kingdom Area: 76986;
5483, b_sakmara, Sakmara, c_sakmara, Sakmara, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, steppe, inhabitable, X:3815, Y:2813, rgb(131, 48, 169), AREA: 2646, County Area: 9793, Duchy Area: 26670, Kingdom Area: 76986;
5484, b_yuldybayevo, Yuldybayevo, c_sakmara, Sakmara, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, steppe, inhabitable, X:3861, Y:2814, rgb(173, 51, 42), AREA: 2565, County Area: 9793, Duchy Area: 26670, Kingdom Area: 76986;
5485, b_verkouralsk, Verkouralsk, c_sakmara, Sakmara, d_bashkiria, Bashkiria, k_bashkiria, Bashkiria world_steppe_west, steppe, inhabitable, X:3857, Y:2893, rgb(5, 54, 170), AREA: 1955, County Area: 9793, Duchy Area: 26670, Kingdom Area: 76986;
5486, b_yumanova, Yumanova, c_uiska, Uiska, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, forest, inhabitable, X:3842, Y:2910, rgb(47, 57, 43), AREA: 1599, County Area: 7110, Duchy Area: 20660, Kingdom Area: 76986;
5487, b_uiska, Uiska, c_uiska, Uiska, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, hills, inhabitable, X:3875, Y:2924, rgb(89, 60, 171), AREA: 1569, County Area: 7110, Duchy Area: 20660, Kingdom Area: 76986;
5488, b_satka, Satka, c_uiska, Uiska, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, forest, inhabitable, X:3847, Y:2957, rgb(131, 63, 44), AREA: 1926, County Area: 7110, Duchy Area: 20660, Kingdom Area: 76986;
5489, b_ust-katav, Ust-Katav, c_uiska, Uiska, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, forest, inhabitable, X:3813, Y:2964, rgb(173, 66, 172), AREA: 2016, County Area: 7110, Duchy Area: 20660, Kingdom Area: 76986;
5490, b_karabash, Karabash, c_karabash, Karabash, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, hills, inhabitable, X:3887, Y:3037, rgb(5, 69, 45), AREA: 2909, County Area: 6615, Duchy Area: 20660, Kingdom Area: 76986;
5491, b_revda, Revda, c_karabash, Karabash, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, hills, inhabitable, X:3879, Y:3084, rgb(47, 72, 173), AREA: 2042, County Area: 6615, Duchy Area: 20660, Kingdom Area: 76986;
5492, b_zlatoust, Zlatoust, c_karabash, Karabash, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, hills, inhabitable, X:3893, Y:2975, rgb(89, 75, 46), AREA: 1664, County Area: 6615, Duchy Area: 20660, Kingdom Area: 76986;
5493, b_parizh, Parizh, c_uraltau, Uraltau, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, mountains, inhabitable, X:3849, Y:2997, rgb(131, 78, 174), AREA: 1550, County Area: 6935, Duchy Area: 20660, Kingdom Area: 76986;
5494, b_duvan, Duvan, c_uraltau, Uraltau, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, mountains, inhabitable, X:3822, Y:3013, rgb(173, 81, 47), AREA: 1298, County Area: 6935, Duchy Area: 20660, Kingdom Area: 76986;
5495, b_yamantau, Yamantau, c_uraltau, Uraltau, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, mountains, inhabitable, X:3824, Y:3042, rgb(5, 84, 175), AREA: 1455, County Area: 6935, Duchy Area: 20660, Kingdom Area: 76986;
5496, b_arti, Arti, c_uraltau, Uraltau, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, mountains, inhabitable, X:3809, Y:3075, rgb(47, 87, 48), AREA: 1377, County Area: 6935, Duchy Area: 20660, Kingdom Area: 76986;
5497, b_achichskaya, Achichskaya, c_uraltau, Uraltau, d_uraltau, Uraltau, k_bashkiria, Bashkiria world_steppe_west, mountains, inhabitable, X:3801, Y:3092, rgb(89, 90, 176), AREA: 1255, County Area: 6935, Duchy Area: 20660, Kingdom Area: 76986;
5498, b_repnoye, Repnoye, c_durovka, Durovka, d_khopyor, Khopyor, k_mordvinia, Mordvinia world_steppe_west, forest, inhabitable, X:3059, Y:2764, rgb(131, 93, 49), AREA: 2101, County Area: 6386, Duchy Area: 40749, Kingdom Area: 170011;
5499, b_orskaya, Orskaya, c_aqtobe, Aqtobe, d_aqtobe, Aqtobe, k_kimek, Kimek world_steppe_west, steppe, inhabitable, X:3837, Y:2754, rgb(173, 96, 177), AREA: 3275, County Area: 12709, Duchy Area: 31287, Kingdom Area: 100117;
5500, b_chalap_kerman, Chalap Kerman, c_aqtobe, Aqtobe, d_aqtobe, Aqtobe, k_kimek, Kimek world_steppe_west, steppe, inhabitable, X:3763, Y:2786, rgb(5, 99, 50), AREA: 3809, County Area: 12709, Duchy Area: 31287, Kingdom Area: 100117;
5501, b_orenburg, Or, c_orenburg, Or, d_aqtobe, Aqtobe, k_kimek, Kimek world_steppe_west, steppe, inhabitable, X:3687, Y:2787, rgb(47, 102, 178), AREA: 2886, County Area: 9597, Duchy Area: 31287, Kingdom Area: 100117;
5502, b_ilekskoi_gorodok, Ilekskoi Gorodok, c_pecheneg, Pecheneg, d_pecheneg, Pecheneg, k_caspian_steppe, Caspian Steppe world_steppe_west, steppe, inhabitable, X:3609, Y:2781, rgb(89, 105, 51), AREA: 3603, County Area: 10745, Duchy Area: 42065, Kingdom Area: 90795;
5503, b_kamelik, Kamelik, c_pecheneg, Pecheneg, d_pecheneg, Pecheneg, k_caspian_steppe, Caspian Steppe world_steppe_west, steppe, inhabitable, X:3535, Y:2806, rgb(131, 108, 179), AREA: 3453, County Area: 10745, Duchy Area: 42065, Kingdom Area: 90795;
5504, b_jambalar, Jambalar, c_jambalar, Jambalar, d_pecheneg, Pecheneg, k_caspian_steppe, Caspian Steppe world_steppe_west, forest, inhabitable, X:3335, Y:2814, rgb(173, 111, 52), AREA: 3282, County Area: 13689, Duchy Area: 42065, Kingdom Area: 90795;
5505, b_yalachi, Yalachi, c_jambalar, Jambalar, d_pecheneg, Pecheneg, k_caspian_steppe, Caspian Steppe world_steppe_west, forest, inhabitable, X:3397, Y:2832, rgb(5, 114, 180), AREA: 2782, County Area: 13689, Duchy Area: 42065, Kingdom Area: 90795;
5506, b_maza, Maza, c_jambalar, Jambalar, d_pecheneg, Pecheneg, k_caspian_steppe, Caspian Steppe world_steppe_west, forest, inhabitable, X:3429, Y:2800, rgb(47, 117, 53), AREA: 4026, County Area: 13689, Duchy Area: 42065, Kingdom Area: 90795;
5507, b_maloi_irghiz, Maloi Irghiz, c_jambalar, Jambalar, d_pecheneg, Pecheneg, k_caspian_steppe, Caspian Steppe world_steppe_west, forest, inhabitable, X:3349, Y:2786, rgb(89, 120, 181), AREA: 3599, County Area: 13689, Duchy Area: 42065, Kingdom Area: 90795;
5508, b_peschanka, Peschanka, c_atkarsk, Atkara, d_chuvashia, Chuvashia, k_mordvinia, Mordvinia world_steppe_west, steppe, inhabitable, X:3137, Y:2703, rgb(131, 123, 54), AREA: 2102, County Area: 7496, Duchy Area: 41631, Kingdom Area: 170011;
5509, b_atkarsk, Atkara, c_atkarsk, Atkara, d_chuvashia, Chuvashia, k_mordvinia, Mordvinia world_steppe_west, steppe, inhabitable, X:3179, Y:2724, rgb(173, 126, 182), AREA: 2296, County Area: 7496, Duchy Area: 41631, Kingdom Area: 170011;
5512, none, none, undefined, undefined, none, undefined, none, undefined none, taiga, wasteland, X:none, Y:none, rgb(89, 135, 56), AREA: 9074, ;
5513, none, none, undefined, undefined, none, undefined, none, undefined none, desert, wasteland, X:none, Y:none, rgb(131, 138, 184), AREA: 35483, ;
5514, none, none, undefined, undefined, none, undefined, none, undefined none, steppe, wasteland, X:none, Y:none, rgb(173, 141, 57), AREA: 36388, ;
5515, , none, undefined, undefined, none, undefined, none, undefined Caucasus, mountains, impassable_mountains, X:none, Y:none, rgb(5, 144, 185), AREA: 7922, ;
5516, , none, undefined, undefined, none, undefined, none, undefined Russia, mountains, impassable_mountains, X:none, Y:none, rgb(47, 147, 58), AREA: 7607, ;
5517, , none, undefined, undefined, none, undefined, none, undefined Russia, mountains, impassable_mountains, X:none, Y:none, rgb(89, 150, 186), AREA: 15834, ;
5518, , none, undefined, undefined, none, undefined, none, undefined Russia, mountains, impassable_mountains, X:none, Y:none, rgb(131, 153, 59), AREA: 28014, ;
